# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 10:05:52 2025
#
# User preference: *
#
# CONSTRAINT:  where (disc_facility like '%K2%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-105 b,K2-105,0,1,1,Transit,2017,K2,Published Candidate,0,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,8.26700000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5411.15,136.05,-141.87,0,0.915405,0.058760,-0.051009,0,0.941000,0.134856,-0.103376,0,0.3277,0.0151,-0.0151,0,[M/H],4.488430,0.081092,-0.090173,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.98900000,1.55500000,-1.53000000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2016-07-18,2016-10,2016-07-18
K2-105 b,K2-105,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A..63B/abstract target=ref>Bourrier et al. 2023</a>,8.26698970000,0.00000570000,-0.00000570000,0,,,,,,,,,,,,,,,,,,,,,,0.000000,,,0,,,,,,,,,0,<a refstr=BOURRIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A..63B/abstract target=ref>Bourrier et al. 2023</a>,K1,5636.00,49.00,-52.00,0,0.970000,0.010000,-0.010000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.98900000,1.55500000,-1.53000000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2024-12-10,2023-01,2024-12-10
K2-105 b,K2-105,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,8.26699280000,0.00000700000,-0.00000670000,0,0.0833000000,0.0039000000,-0.0116000000,0,3.59000000,0.11000000,-0.07000000,0,0.32027890,0.00981356,-0.00624499,0,,,,,,,,,,,,,,,,,,928.00,1.00,-23.00,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,5636.00,49.00,-52.00,0,0.970000,0.010000,-0.010000,0,1.050000,0.020000,-0.020000,0,0.2300,0.0400,-0.0300,0,[Fe/H],4.490000,0.010000,-0.010000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.98900000,1.55500000,-1.53000000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2021-09-20,2022-01,2021-09-20
K2-105 b,K2-105,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,8.26726000000,0.00018000000,-0.00018000000,0,,,,,3.40000000,0.12000000,-0.05000000,0,0.30332821,0.01070570,-0.00446071,0,15.40000000,4.40000000,-4.40000000,0,0.04845382,0.01384395,-0.01384395,0,Mass,,,,,100.0000,12.0000,-11.0000,0,805.00,22.00,-23.00,0,0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,,5373.00,100.00,-100.00,0,0.905000,0.035000,-0.035000,0,0.940000,0.040000,-0.040000,0,0.2200,0.0470,-0.0470,0,[Fe/H],4.450000,0.085000,-0.085000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.98900000,1.55500000,-1.53000000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2025-09-17,2025-06,2025-09-17
K2-105 b,K2-105,0,1,1,Transit,2017,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,8.26345949000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5411.15,136.05,-141.87,0,0.915405,0.058760,-0.051009,0,0.941000,0.134856,-0.103376,0,0.3277,0.0151,-0.0151,0,[M/H],4.488430,0.081092,-0.090173,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.98900000,1.55500000,-1.53000000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2016-12-21,2016-10,2016-12-21
K2-105 b,K2-105,0,1,1,Transit,2017,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,8.26698000000,0.00013000000,-0.00013000000,0,,,,,3.55000000,0.11000000,-0.31000000,0,0.31700000,0.00980000,-0.02800000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.947000,0.016000,-0.027000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.98900000,1.55500000,-1.53000000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2019-09-05,2019-09,2019-09-05
K2-107 b,K2-107,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,3.31395900000,0.00002400000,-0.00002400000,0,0.0475000000,0.0006000000,-0.0006000000,0,15.98000000,0.55000000,-0.55000000,0,1.42564011,0.04906771,-0.04906771,0,,,,,,,,,,,,,,,,,,1649.00,39.00,-39.00,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,6061.00,96.00,-96.00,0,1.810000,0.060000,-0.060000,0,1.300000,0.050000,-0.050000,0,0.1400,0.0600,-0.0600,0,[Fe/H],4.040000,0.030000,-0.030000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.20000000,20.50200000,-19.36400000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2018-10-24,2018-12,2018-10-26
K2-107 b,K2-107,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uuml;ller et al. 2017</a>,3.31392000000,0.00002000000,-0.00002000000,0,0.0480000000,0.0050000000,-0.0050000000,0,16.14096000,1.68135000,-1.68135000,0,1.44000000,0.15000000,-0.15000000,0,266.97720000,25.42640000,-25.42640000,0,0.84000000,0.08000000,-0.08000000,0,Mass,0.000000,,,0,,,,,1780.00,90.00,-90.00,0,0,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uuml;ller et al. 2017</a>,F9 IV,6030.00,120.00,-120.00,0,1.780000,0.160000,-0.160000,0,1.300000,0.140000,-0.140000,0,0.1000,0.1000,-0.1000,0,[Fe/H],4.070000,0.100000,-0.100000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.20000000,20.50200000,-19.36400000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2018-10-24,2017-03,2017-02-02
K2-107 b,K2-107,0,1,1,Transit,2017,K2,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,3.31394400000,0.00002300000,-0.00002400000,0,,,,,14.40000000,2.20000000,-1.90000000,0,1.28000000,0.20000000,-0.17000000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,,,,1.730000,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.20000000,20.50200000,-19.36400000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2017-12-14,2018-01,2017-12-14
K2-107 b,K2-107,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,3.31392100000,0.00001000000,-0.00001000000,0,,,,,12.04276422,1.61852620,-0.95253817,0,1.07438346,0.14439524,-0.08497976,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,6178.00,50.00,-50.00,0,1.334682,0.177249,-0.104015,0,1.257584,0.051487,-0.045619,0,0.3500,0.0800,-0.0800,0,[Fe/H],4.240000,0.100000,-0.100000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.20000000,20.50200000,-19.36400000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2018-10-24,2018-03,2018-02-15
K2-107 b,K2-107,0,1,1,Transit,2017,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,3.31390950000,0.00000900000,-0.00000900000,0,,,,,17.38000000,3.77000000,-0.46000000,0,1.55100000,0.33600000,-0.04100000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,1.908000,0.413000,-0.037000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.20000000,20.50200000,-19.36400000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2019-09-05,2019-09,2019-09-05
K2-107 b,K2-107,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,3.31391510000,0.00000290000,-0.00000290000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uuml;ller et al. 2017</a>,F9 IV,6030.00,120.00,-120.00,0,1.780000,0.160000,-0.160000,0,1.300000,0.140000,-0.140000,0,0.1000,0.1000,-0.1000,0,[Fe/H],4.070000,0.100000,-0.100000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.20000000,20.50200000,-19.36400000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2024-03-04,2023-03,2024-03-04
K2-108 b,K2-108,0,1,1,Transit,2017,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,4.73363000000,0.00013000000,-0.00013000000,0,,,,,5.81000000,0.36000000,-0.71000000,0,0.51800000,0.03200000,-0.06300000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,1.797000,0.055000,-0.068000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h13m31.64s,123.3818484,+16d25m10.26s,16.4195160,477.29500000,10.09400000,-9.69200000,12.3390000,0.0920000,-0.0920000,10.5610000,0.0170000,-0.0170000,12.1704000,0.0002010,-0.0002010,2019-09-05,2019-09,2019-09-05
K2-108 b,K2-108,0,1,1,Transit,2017,K2,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,4.73355750515,0.00004231500,-0.00004231500,0,,,,,5.38526663,6.43875360,-6.43875360,0,0.48044214,0.57442811,-0.57442811,0,,,,,,,,,,,,,,850.4828,,,0,1377.32,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5496.00,131.31,-131.31,0,1.758960,0.102414,-0.102414,0,,,,,,,,,,3.931630,0.081643,-0.081643,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h13m31.64s,123.3818484,+16d25m10.26s,16.4195160,477.29500000,10.09400000,-9.69200000,12.3390000,0.0920000,-0.0920000,10.5610000,0.0170000,-0.0170000,12.1704000,0.0002010,-0.0002010,2024-04-07,2017-07,2024-04-07
K2-108 b,K2-108,0,1,1,Transit,2017,K2,Published Candidate,0,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,4.73400000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5496.00,138.04,-124.57,0,1.758960,0.107289,-0.097540,0,0.964000,0.116579,-0.120972,0,,,,,,3.931630,0.084269,-0.079017,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h13m31.64s,123.3818484,+16d25m10.26s,16.4195160,477.29500000,10.09400000,-9.69200000,12.3390000,0.0920000,-0.0920000,10.5610000,0.0170000,-0.0170000,12.1704000,0.0002010,-0.0002010,2016-07-18,2016-10,2016-07-18
K2-108 b,K2-108,0,1,1,Transit,2017,K2,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,4.73400600000,0.00022800000,-0.00022300000,0,,,,,5.30000000,0.90000000,-0.70000000,0,0.47000000,0.08000000,-0.06000000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,,,,1.770000,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h13m31.64s,123.3818484,+16d25m10.26s,16.4195160,477.29500000,10.09400000,-9.69200000,12.3390000,0.0920000,-0.0920000,10.5610000,0.0170000,-0.0170000,12.1704000,0.0002010,-0.0002010,2017-12-14,2018-01,2017-12-14
K2-108 b,K2-108,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,4.73401000000,0.00024000000,-0.00024000000,0,,,,,5.28000000,0.54000000,-0.54000000,0,0.47105086,0.04817566,-0.04817566,0,59.40000000,4.40000000,-4.40000000,0,0.18689330,0.01384395,-0.01384395,0,Mass,,,,,762.0000,100.0000,-100.0000,0,1446.00,48.00,-48.00,0,0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,,5474.00,60.00,-60.00,0,1.750000,0.140000,-0.140000,0,2.830000,1.000000,-1.000000,0,0.3300,0.0400,-0.0400,0,[Fe/H],3.990000,0.050000,-0.050000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h13m31.64s,123.3818484,+16d25m10.26s,16.4195160,477.29500000,10.09400000,-9.69200000,12.3390000,0.0920000,-0.0920000,10.5610000,0.0170000,-0.0170000,12.1704000,0.0002010,-0.0002010,2025-09-17,2025-06,2025-09-17
K2-108 b,K2-108,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,4.73401000000,0.00024000000,-0.00024000000,0,0.0573000000,0.0010000000,-0.0010000000,0,5.28000000,0.54000000,-0.54000000,0,0.47105005,0.04817557,-0.04817557,0,59.40000000,4.40000000,-4.40000000,0,0.18689236,0.01384388,-0.01384388,0,Mass,0.180000,0.042000,-0.042000,0,762.0000,100.0000,-100.0000,0,1446.00,48.00,-48.00,0,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,,5474.00,60.00,-60.00,0,1.750000,0.140000,-0.140000,0,1.121000,0.065000,-0.053000,0,0.3300,0.0400,-0.0400,0,[Fe/H],3.990000,0.050000,-0.050000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h13m31.64s,123.3818484,+16d25m10.26s,16.4195160,477.29500000,10.09400000,-9.69200000,12.3390000,0.0920000,-0.0920000,10.5610000,0.0170000,-0.0170000,12.1704000,0.0002010,-0.0002010,2018-10-24,2017-04,2017-02-09
